provider,model,size_gb,ctx,prompt_tokens,gen_tokens,total_tokens,gen_tps,elapsed_s,vram_delta_mib,nith_pass,error
llama_cpp,DeepSeek-R1-0528-Qwen3-8B-Q4_K_M,5.03,12000,11761,271,12032,26.7,10.2,6773,True,
llama_cpp,DeepSeek-R1-0528-Qwen3-8B-Q4_K_M,5.03,32000,31573,300,31873,16.7,18.0,9573,True,
llama_cpp,DeepSeek-R1-0528-Qwen3-8B-Q4_K_M,5.03,64000,63101,300,63401,7.2,41.9,14153,True,
llama_cpp,DeepSeek-R1-0528-Qwen3-8B-Q4_K_M,5.03,80000,79613,300,79913,4.9,60.8,16341,True,
llama_cpp,gemma-4-E4B-it-Q4_K_M,5.34,12000,11272,300,11572,32.4,9.3,4011,True,
llama_cpp,gemma-4-E4B-it-Q4_K_M,5.34,32000,30691,300,30991,21.4,14.0,4389,True,
llama_cpp,gemma-4-E4B-it-Q4_K_M,5.34,64000,61815,52,61867,2.4,21.3,4819,True,
llama_cpp,gemma-4-E4B-it-Q4_K_M,5.34,80000,77170,82,77252,3.0,27.4,5071,True,
llama_cpp,gpt-oss-20b-MXFP4,12.11,12000,11218,165,11383,20.5,8.0,11977,True,
llama_cpp,gpt-oss-20b-MXFP4,12.11,32000,30118,187,30305,11.8,15.8,12445,True,
llama_cpp,gpt-oss-20b-MXFP4,12.11,64000,60501,234,60735,8.2,28.5,13195,True,
llama_cpp,gpt-oss-20b-MXFP4,12.11,80000,75896,216,76112,6.0,36.2,13573,True,
llama_cpp,Qwen3.6-27B-UD-Q3_K_XL,14.47,12000,11688,300,11988,9.3,32.4,15297,True,
llama_cpp,Qwen3.6-27B-UD-Q3_K_XL,14.47,32000,31776,224,32000,5.0,45.1,16545,True,
llama_cpp,Qwen3.6-27B-UD-Q3_K_XL,14.47,64000,63398,300,63698,3.4,88.8,18545,True,
llama_cpp,Qwen3.6-27B-UD-Q3_K_XL,14.47,80000,79200,300,79500,2.7,113.0,19551,True,
llama_cpp,Qwen3.6-27B-UD-Q4_K_XL,17.61,12000,11785,247,12032,6.2,40.1,18289,True,
llama_cpp,Qwen3.6-27B-UD-Q4_K_XL,17.61,32000,31648,300,31948,6.5,46.0,19537,True,
